id,name,type,reason,team,fixture,league
39,S. Savic,Missing Fixture,Red Card,Atletico Madrid,2021-11-03T20:00:00+00:00,UEFA Champions League
45,T. Lemar,Missing Fixture,Thigh Injury,Atletico Madrid,2021-11-07T15:15:00+00:00,La Liga
753,M. Llorente,Missing Fixture,Thigh Injury,Atletico Madrid,2021-11-07T15:15:00+00:00,La Liga
41595,I. Saponjic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-11-07T15:15:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Calf Injury,Atletico Madrid,2021-11-20T17:30:00+00:00,La Liga
41595,I. Saponjic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-11-20T17:30:00+00:00,La Liga
169,K. Trippier,Missing Fixture,Shoulder Injury,Atletico Madrid,2021-11-20T17:30:00+00:00,La Liga
371,Felipe,Missing Fixture,Red Card,Atletico Madrid,2021-11-24T20:00:00+00:00,UEFA Champions League
583,Joao Felix,Missing Fixture,Calf Injury,Atletico Madrid,2021-11-24T20:00:00+00:00,UEFA Champions League
41595,I. Saponjic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-11-24T20:00:00+00:00,UEFA Champions League
169,K. Trippier,Missing Fixture,Shoulder Injury,Atletico Madrid,2021-11-24T20:00:00+00:00,UEFA Champions League
583,Joao Felix,Missing Fixture,Calf Injury,Atletico Madrid,2021-11-28T17:30:00+00:00,La Liga
10122,Renan Lodi,Missing Fixture,Injury,Atletico Madrid,2021-11-28T17:30:00+00:00,La Liga
41595,I. Saponjic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-11-28T17:30:00+00:00,La Liga
169,K. Trippier,Missing Fixture,Shoulder Injury,Atletico Madrid,2021-11-28T17:30:00+00:00,La Liga
2923,Y. Carrasco,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-04T17:30:00+00:00,La Liga
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-04T17:30:00+00:00,La Liga
41595,I. Saponjic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-04T17:30:00+00:00,La Liga
169,K. Trippier,Missing Fixture,Shoulder Injury,Atletico Madrid,2021-12-04T17:30:00+00:00,La Liga
371,Felipe,Missing Fixture,Red Card,Atletico Madrid,2021-12-07T20:00:00+00:00,UEFA Champions League
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-07T20:00:00+00:00,UEFA Champions League
41595,I. Saponjic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-07T20:00:00+00:00,UEFA Champions League
39,S. Savic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-07T20:00:00+00:00,UEFA Champions League
169,K. Trippier,Missing Fixture,Injury,Atletico Madrid,2021-12-07T20:00:00+00:00,UEFA Champions League
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-12T20:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-12T20:00:00+00:00,La Liga
199,S. Vrsaljko,Missing Fixture,Head Injury,Atletico Madrid,2021-12-12T20:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-18T20:00:00+00:00,La Liga
199,S. Vrsaljko,Missing Fixture,Head Injury,Atletico Madrid,2021-12-18T20:00:00+00:00,La Liga
56,A. Griezmann,Questionable,Ankle Injury,Atletico Madrid,2021-12-18T20:00:00+00:00,La Liga
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-22T18:00:00+00:00,La Liga
56,A. Griezmann,Missing Fixture,Ankle Injury,Atletico Madrid,2021-12-22T18:00:00+00:00,La Liga
753,M. Llorente,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-22T18:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Muscle Injury,Atletico Madrid,2021-12-22T18:00:00+00:00,La Liga
199,S. Vrsaljko,Missing Fixture,Head Injury,Atletico Madrid,2021-12-22T18:00:00+00:00,La Liga
56,A. Griezmann,Missing Fixture,Ankle Injury,Atletico Madrid,2022-01-02T15:15:00+00:00,La Liga
